created,description,filename,mime_type,size,id,asset_id,profile_id
2022-09-13 16:48:19.63087+00,,AST_EX_20220912_112227.jpeg,image/jpeg,129786,62988,52667,253
2024-11-13 18:18:02.968411+00,,AST_EX_20241108_143704.jpeg,image/jpeg,152694,77401,52667,253
2022-09-13 16:48:19.644736+00,,AST_EX_20220912_112617.jpeg,image/jpeg,136323,62989,52668,253
2024-11-13 18:18:02.871058+00,,AST_EX_20241108_144201.jpeg,image/jpeg,152153,77397,52668,253
2022-03-24 16:21:08.356656+00,,AST_EX_20220323_104428.jpeg,image/jpeg,80728,37276,53193,253
2022-03-24 16:21:08.579286+00,,AST_EX_20220323_104403.jpeg,image/jpeg,112436,37279,53193,253
2022-03-24 16:21:08.770276+00,,AST_EX_20220323_104354.jpeg,image/jpeg,123684,37297,53193,253
2022-01-17 17:02:38.408213+00,,AST_EX_20220113_151616.jpeg,image/jpeg,74830,35427,53195,253
2022-01-17 17:02:38.526139+00,,AST_EX_20220113_151626.jpeg,image/jpeg,94366,35431,53195,253
2024-07-30 22:26:46.271345+00,,AST_EX_20240730_122826.jpeg,image/jpeg,134917,71811,53195,253
2022-03-24 16:21:08.405086+00,,AST_EX_20220323_113123.jpeg,image/jpeg,88577,37277,53198,253
2022-03-24 16:21:08.569049+00,,AST_EX_20220323_113311.jpeg,image/jpeg,108847,37278,53198,253
2022-03-24 16:21:08.610369+00,,AST_EX_20220323_113100.jpeg,image/jpeg,116435,37285,53198,253
2022-03-24 16:21:08.339473+00,,AST_EX_20220323_130658.jpeg,image/jpeg,101822,37275,53200,253
2022-08-11 15:29:23.775127+00,,AST_EX_20220806_110819.jpeg,image/jpeg,95147,58833,53200,253
2022-06-08 22:07:09.597+00,Upper Canyon Trail Bridge (Oct 2021 from alltrails.com),Upper Canyon Bridge (Oct 2021).jpeg,image/jpeg,1170842,45354,53798,253
2024-10-13 20:37:28.199+00,,IMG_0240.jpeg,image/jpeg,1378143,75037,53851,253
2024-10-13 20:37:28.199+00,,IMG_0226.jpeg,image/jpeg,1208159,75038,53851,253
2024-10-13 20:37:28.199+00,,IMG_0227.jpeg,image/jpeg,919094,75039,53851,253
2024-10-13 20:37:28.199+00,,IMG_0233.jpeg,image/jpeg,1019770,75040,53851,253
2024-10-13 20:37:28.199+00,,IMG_0236.jpeg,image/jpeg,1359958,75041,53851,253
2022-08-27 22:07:30.201482+00,,AST_EX_20220827_103258.jpeg,image/jpeg,161512,61564,53983,253
2022-08-27 22:07:30.19618+00,,AST_EX_20220827_103324.jpeg,image/jpeg,135042,61566,53983,253
2022-08-27 22:07:30.197167+00,,AST_EX_20220827_103240.jpeg,image/jpeg,136033,61568,53983,253
2023-03-02 22:21:26.601937+00,,AST_EX_20230302_100153.jpeg,image/jpeg,105842,64698,53984,253
2023-03-02 22:21:26.601948+00,,AST_EX_20230302_100144.jpeg,image/jpeg,98959,64699,53984,253
2023-03-02 22:21:26.603124+00,,AST_EX_20230302_100109.jpeg,image/jpeg,105027,64700,53984,253
2025-07-04 16:15:33.285+00,Record Drawings,Inland Lake - Record Drawings - IFU - 20250311.pdf,application/pdf,2706795,84284,53985,253
2025-07-04 16:34:51.88+00,photo 1,Inland pedestrian bridge DFAA 1.png,image/png,6058636,84285,53985,253
2025-07-04 16:34:51.88+00,photo 2,Inland pedestrian bridge DFAA 2.png,image/png,7151792,84286,53985,253
2023-03-03 21:04:34.461189+00,,AST_EX_20230302_102311.jpeg,image/jpeg,84184,64713,53986,253
2025-08-19 22:47:43.86153+00,,AST_EX_20250818_142210.jpeg,image/jpeg,121952,87058,54184,253
2021-05-28 16:31:32.466+00,bridge with hand railings,20210519_193643.jpg,image/jpeg,13035304,296,54206,253
2021-08-27 16:47:02.644047+00,,AST_EX_20210826_114613.jpeg,image/jpeg,1071508,18906,54321,253
2024-12-09 22:01:03.507238+00,,AST_EX_20241206_104501.jpeg,image/jpeg,145187,77982,54321,253
2021-08-27 16:47:05.43266+00,,AST_EX_20210826_112735.jpeg,image/jpeg,1228657,18912,54322,253
